COD_ETU;Note : TLMI4604;RÃ©sultat : TLMI4604;Session : TLMI4604;AnnÃ©e : TLMI4604;Filière;Année;Module;Semestre
19009153;11,417;V  ;1;2020;MIP;2020;TLMI3004;S3
19009155;14;V  ;2;2020;MIP;2020;TLMI3004;S3
19009160;10,083;V  ;2;2020;MIP;2020;TLMI3004;S3
19009167;;;1;2020;MIP;2020;TLMI3004;S3
19009169;8,667;NV ;2;2020;MIP;2020;TLMI3004;S3
19009291;;;1;2020;MIP;2020;TLMI3004;S3
19009335;;;1;2020;MIP;2020;TLMI3004;S3
19009385;;;1;2020;MIP;2020;TLMI3004;S3
19009386;;;1;2020;MIP;2020;TLMI3004;S3
19009395;6,833;NV ;2;2020;MIP;2020;TLMI3004;S3
19009399;6,583;NV ;2;2020;MIP;2020;TLMI3004;S3
19009400;10;NV ;2;2020;MIP;2020;TLMI3004;S3
19009570;;;1;2020;MIP;2020;TLMI3004;S3
19009584;;;1;2020;MIP;2020;TLMI3004;S3
19009629;;;1;2020;MIP;2020;TLMI3004;S3
19009647;;;1;2020;MIP;2020;TLMI3004;S3
19009734;;;1;2020;MIP;2020;TLMI3004;S3
19009735;;;1;2020;MIP;2020;TLMI3004;S3
19009738;;;1;2020;MIP;2020;TLMI3004;S3
19009741;;;1;2020;MIP;2020;TLMI3004;S3
19009789;10,667;V  ;2;2020;MIP;2020;TLMI3004;S3
19009852;;;1;2020;MIP;2020;TLMI3004;S3
19009911;7.5;NV ;2;2020;MIP;2020;TLMI3004;S3
19009930;10,833;NV ;2;2020;MIP;2020;TLMI3004;S3
19009964;10.8;V  ;2;2020;MIP;2020;TLMI3004;S3
19009972;;;1;2020;MIP;2020;TLMI3004;S3
19010172;;;1;2020;MIP;2020;TLMI3004;S3
19010238;8,667;NV ;2;2020;MIP;2020;TLMI3004;S3
19010282;;;1;2020;MIP;2020;TLMI3004;S3
19010283;;;1;2020;MIP;2020;TLMI3004;S3
19010289;;;1;2020;MIP;2020;TLMI3004;S3
19010294;;;1;2020;MIP;2020;TLMI3004;S3
19010296;;;1;2020;MIP;2020;TLMI3004;S3
19010297;;;1;2020;MIP;2020;TLMI3004;S3
19010509;;;1;2020;MIP;2020;TLMI3004;S3
19010543;;;1;2020;MIP;2020;TLMI3004;S3
19010606;;;1;2020;MIP;2020;TLMI3004;S3
19010607;10;NV ;2;2020;MIP;2020;TLMI3004;S3
19010676;9,917;NV ;2;2020;MIP;2020;TLMI3004;S3
19010784;11.5;V  ;2;2020;MIP;2020;TLMI3004;S3
19010791;;;1;2020;MIP;2020;TLMI3004;S3
19010798;;;1;2020;MIP;2020;TLMI3004;S3
19010801;;;1;2020;MIP;2020;TLMI3004;S3
19010803;;;1;2020;MIP;2020;TLMI3004;S3
19010805;;;1;2020;MIP;2020;TLMI3004;S3
19010806;;;1;2020;MIP;2020;TLMI3004;S3
19010807;;;1;2020;MIP;2020;TLMI3004;S3
19010812;;;1;2020;MIP;2020;TLMI3004;S3
19010809;0;NV ;2;2020;MIP;2020;TLMI3004;S3
19010810;;;1;2020;MIP;2020;TLMI3004;S3
19010811;;;1;2020;MIP;2020;TLMI3004;S3
19010813;;;1;2020;MIP;2020;TLMI3004;S3
19010815;;;1;2020;MIP;2020;TLMI3004;S3
19010817;;;1;2020;MIP;2020;TLMI3004;S3
19010823;;;1;2020;MIP;2020;TLMI3004;S3
19010824;;;1;2020;MIP;2020;TLMI3004;S3
19010825;0;NV ;2;2020;MIP;2020;TLMI3004;S3
19010830;;;1;2020;MIP;2020;TLMI3004;S3
