COD_ETU;Note : TLMP1004;RÃ©sultat : TLMP1004;Session : TLMP1004;AnnÃ©e : TLMP1004;Filière;Année;Module;Semestre
20000354;12.5;V ;1;2020;MIPC;2020;TLMP1004;S1
20000355;12,458;V ;1;2020;MIPC;2020;TLMP1004;S1
20000887;10;NV;2;2020;MIPC;2020;TLMP1004;S1
20000890;13,833;V ;1;2020;MIPC;2020;TLMP1004;S1
20000898;8.8;NV;2;2020;MIPC;2020;TLMP1004;S1
20000899;12.8;V ;2;2020;MIPC;2020;TLMP1004;S1
20000901;6,817;NV;2;2020;MIPC;2020;TLMP1004;S1
20000904;0;NV;2;2020;MIPC;2020;TLMP1004;S1
20000905;15.5;V ;1;2020;MIPC;2020;TLMP1004;S1
20000907;13,333;V ;2;2020;MIPC;2020;TLMP1004;S1
20000908;11.9;V ;2;2020;MIPC;2020;TLMP1004;S1
20000910;12,833;V ;2;2020;MIPC;2020;TLMP1004;S1
20000911;7,583;NV;2;2020;MIPC;2020;TLMP1004;S1
20000914;3,042;NV;2;2020;MIPC;2020;TLMP1004;S1
20000915;11;V ;2;2020;MIPC;2020;TLMP1004;S1
20000953;13,083;V ;2;2020;MIPC;2020;TLMP1004;S1
20000954;11;V ;2;2020;MIPC;2020;TLMP1004;S1
20000955;8,833;NV;2;2020;MIPC;2020;TLMP1004;S1
20000956;12,167;V ;2;2020;MIPC;2020;TLMP1004;S1
20000957;8,667;NV;2;2020;MIPC;2020;TLMP1004;S1
20000958;13.2;V ;2;2020;MIPC;2020;TLMP1004;S1
20000959;12,333;V ;2;2020;MIPC;2020;TLMP1004;S1
20000960;12,417;V ;2;2020;MIPC;2020;TLMP1004;S1
20000961;13,733;V ;2;2020;MIPC;2020;TLMP1004;S1
20000964;12.8;V ;1;2020;MIPC;2020;TLMP1004;S1
20000975;13,292;V ;1;2020;MIPC;2020;TLMP1004;S1
20000995;10,258;NV;2;2020;MIPC;2020;TLMP1004;S1
20001010;11,583;V ;2;2020;MIPC;2020;TLMP1004;S1
