COD_ETU;Note : TLMP3504;Résultat : TLMP3504;Session : TLMP3504;Année : TLMP3504;Filière;Année;Module;Semestre
17007349;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
17007363;9;AC ;2;2019;MIPC;2019;TLMP3504;S3
17007393;11.8;V  ;1;2019;MIPC;2019;TLMP3504;S3
17007671;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
17007677;11.1;V  ;1;2018;MIPC;2019;TLMP3504;S3
17007728;12.2;V  ;1;2018;MIPC;2019;TLMP3504;S3
17007730;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17007757;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17007758;6.5;NV ;2;2019;MIPC;2019;TLMP3504;S3
17007764;11.5;V  ;1;2018;MIPC;2019;TLMP3504;S3
17007765;8126;AC ;2;2019;MIPC;2019;TLMP3504;S3
17007767;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17007769;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17007980;10468;V  ;1;2019;MIPC;2019;TLMP3504;S3
17007981;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
17008004;7;AC ;2;2019;MIPC;2019;TLMP3504;S3
17008007;11012;V  ;1;2019;MIPC;2019;TLMP3504;S3
17008008;11.3;V  ;1;2018;MIPC;2019;TLMP3504;S3
17009745;9;AC ;2;2019;MIPC;2019;TLMP3504;S3
17010732;12162;V  ;1;2019;MIPC;2019;TLMP3504;S3
17011412;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
17011572;2338;NRA;1;2019;MIPC;2019;TLMP3504;S3
17011810;14026;V  ;1;2019;MIPC;2019;TLMP3504;S3
18000631;7;NV ;2;2019;MIPC;2019;TLMP3504;S3
18001877;16512;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002012;17.8;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002068;12.4;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002097;13288;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002209;12.3;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002224;12538;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002229;15037;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002303;9.4;AC ;2;2019;MIPC;2019;TLMP3504;S3
18002408;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
18002553;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
18002568;16062;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002570;;;;;MIPC;2019;TLMP3504;S3
18002583;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
18002599;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18002604;10158;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002618;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18002619;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18002622;;;;;MIPC;2019;TLMP3504;S3
