COD_ETU,Note : TLGE1104,Résultat : TLGE1104,Session : TLGE1104,Année : TLGE1104,Note : TLGE1204,Résultat : TLGE1204,Session : TLGE1204,Année : TLGE1204,Note : TLGE1304,Résultat : TLGE1304,Session : TLGE1304,Année : TLGE1304,Note : TLGE1404,Résultat : TLGE1404,Session : TLGE1404,Année : TLGE1404,Note : TLGE1504,Résultat : TLGE1504,Session : TLGE1504,Année : TLGE1504,Note : TLGE1604,Résultat : TLGE1604,Session : TLGE1604,Année : TLGE1604,Note : TLGE1004,Résultat : TLGE1004,Session : TLGE1004,Année : TLGE1004,Note : TLGE2104,Résultat : TLGE2104,Session : TLGE2104,Année : TLGE2104,Note : TLGE2204,Résultat : TLGE2204,Session : TLGE2204,Année : TLGE2204,Note : TLGE2304,Résultat : TLGE2304,Session : TLGE2304,Année : TLGE2304,Note : TLGE2404,Résultat : TLGE2404,Session : TLGE2404,Année : TLGE2404,Note : TLGE2504,Résultat : TLGE2504,Session : TLGE2504,Année : TLGE2504,Note : TLGE2604,Résultat : TLGE2604,Session : TLGE2604,Année : TLGE2604,Note : TLGE2004,Résultat : TLGE2004,Session : TLGE2004,Année : TLGE2004
19000798,10,V,1,2019,10,V,1,2019,11.2,V,1,2019,16.2,V,1,2019,9.05,AC,2,2019,13.5,V,1,2019,11658,V,2,2019,15.5,V,1,2019,12,V,1,2019,16,V,1,2019,14,V,1,2019,12,V,1,2019,14,V,1,2019,13917,V,1,2019
19001469,18.05,V,1,2019,20,V,1,2019,18.6,V,1,2019,19,V,1,2019,16,V,1,2019,16.75,V,1,2019,18067,V,1,2019,16.5,V,1,2019,14,V,1,2019,10,V,1,2019,11,V,1,2019,19,V,1,2019,13,V,1,2019,13917,V,1,2019
19001485,7,AC,2,2019,10.25,V,1,2019,12.6,V,1,2019,16.6,V,1,2019,10,V,2,2019,16.25,V,1,2019,12117,V,2,2019,15,V,1,2019,10,V,1,2019,18,V,1,2019,16,V,1,2019,15,V,1,2019,17,V,1,2019,15167,V,1,2019
19001496,10,V,2,2019,11.5,V,1,2019,15.4,V,1,2019,16.6,V,1,2019,13.6,V,1,2019,16.5,V,1,2019,13933,V,2,2019,10.5,V,1,2019,10,V,2,2019,18,V,1,2019,14,V,1,2019,12,V,1,2019,11,V,1,2019,12583,V,2,2019
19001504,10,V,2,2019,13,V,1,2019,10,V,2,2019,12.8,V,1,2019,10,V,2,2019,10,V,2,2019,10967,V,2,2019,10,V,2,2019,8,AC,2,2019,10,V,1,2019,12,V,1,2019,10,V,2,2019,15,V,1,2019,10833,V,2,2019
19001555,5.5,NV,2,2019,10,V,1,2019,4.2,NRA,1,2019,8.8,NV,2,2019,10,V,2,2019,12.5,V,1,2019,8.5,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019
19001567,3.76,NRA,1,2019,3,NRA,1,2019,10.4,V,1,2019,10,V,2,2019,10,V,2,2019,12.5,V,1,2019,8277,NV,2,2019,10,V,2,2019,14,V,1,2019,10,V,1,2019,10,V,2,2019,13,V,1,2019,14,V,1,2019,11833,V,2,2019
19001568,6975,NV,2,2019,2.5,NRA,1,2019,5.8,NV,2,2019,2.4,NRA,1,2019,6.6,NV,2,2019,14.5,V,1,2019,6463,NV,2,2019,10.5,V,1,2019,5,NV,2,2019,12,V,1,2019,4,NV,2,2019,12,V,1,2019,13,V,1,2019,9417,NV,2,2019
19001578,8,AC,2,2019,7,AC,2,2019,15.8,V,1,2019,15,V,1,2019,8,AC,2,2019,9.75,AC,2,2019,10592,V,2,2019,7,AC,2,2019,10,V,2,2019,16,V,1,2019,10,V,1,2019,13,V,1,2019,16,V,1,2019,12,V,2,2019
19001963,7.5,AC,2,2019,10,V,1,2019,10,V,2,2019,16,V,1,2019,7,AC,2,2019,15,V,1,2019,10917,V,2,2019,11.5,V,1,2019,14,V,1,2019,14,V,1,2019,12,V,1,2019,10,V,2,2019,12,V,1,2019,12.25,V,2,2019
19002099,10263,V,1,2019,7,AC,2,2019,10,V,2,2019,12,V,1,2019,9.8,AC,2,2019,13,V,1,2019,10344,V,2,2019,15.5,V,1,2019,12,V,1,2019,16,V,1,2019,11,V,1,2019,12,V,1,2019,12,V,1,2019,13083,V,1,2019
19002146,4.52,NRA,1,2019,3.75,NRA,1,2019,10,V,1,2019,12,V,1,2019,9,NV,2,2019,17,V,1,2019,9378,NV,2,2019,14.5,V,1,2019,14,V,1,2019,14,V,1,2019,15,V,1,2019,15,V,1,2019,13,V,1,2019,14.25,V,1,2019
19002272,3.87,NRA,1,2019,5,NV,2,2019,10.4,V,1,2019,10,V,2,2019,10,V,2,2019,12.25,V,1,2019,8587,NV,2,2019,12,V,1,2019,10,V,2,2019,16,V,1,2019,9,AC,2,2019,11,V,1,2019,12,V,1,2019,11667,V,2,2019
19002284,2.9,NRA,1,2019,3.5,NRA,1,2019,6.5,NV,2,2019,10,V,2,2019,6,NV,2,2019,10.5,V,1,2019,6567,NV,2,2019,12,V,1,2019,14,V,1,2019,16,V,1,2019,10,V,2,2019,14,V,1,2019,13,V,1,2019,13167,V,2,2019
19002315,3.05,NRA,1,2019,2.75,NRA,1,2019,10,V,2,2019,6.2,NV,2,2019,2.7,NRA,1,2019,14,V,1,2019,6.45,NV,2,2019,10,V,1,2019,14,V,1,2019,16,V,1,2019,13,V,1,2019,14,V,1,2019,14.5,V,1,2019,13583,V,1,2019
19002318,2588,NRA,1,2019,4.25,NRA,1,2019,14.8,V,1,2019,15.6,V,1,2019,15.2,V,1,2019,12.75,V,1,2019,10865,NV,2,2019,10.5,V,1,2019,10,V,2,2019,14,V,1,2019,12,V,1,2019,10,V,1,2019,13,V,1,2019,11583,V,2,2019
19002376,2.9,NRA,1,2019,2.25,NRA,1,2019,6.6,NV,2,2019,11.2,V,1,2019,7.35,NV,2,2019,15,V,1,2019,7.55,NV,2,2019,10,V,2,2019,10,V,2,2019,2,NV,2,2019,8,NV,2,2019,10,V,2,2019,11,V,1,2019,8.5,NV,2,2019
19002381,11.57,V,1,2019,13.75,V,1,2019,14.8,V,1,2019,16,V,1,2019,11,V,1,2019,15.75,V,1,2019,13812,V,1,2019,13.5,V,1,2019,14,V,1,2019,14,V,1,2019,13,V,1,2019,15,V,1,2019,15,V,1,2019,14083,V,1,2019
19002383,10,V,2,2019,7,AC,2,2019,8.5,AC,2,2019,11.4,V,1,2019,10,V,2,2019,13.25,V,1,2019,10025,V,2,2019,12,V,1,2019,14,V,1,2019,16,V,1,2019,14,V,1,2019,15,V,1,2019,14,V,1,2019,14167,V,1,2019
19002390,10,V,2,2019,7,AC,2,2019,10.4,V,1,2019,10,V,2,2019,10,V,2,2019,13.5,V,1,2019,10.15,V,2,2019,10.5,V,1,2019,10,V,2,2019,8,AC,2,2019,10,V,2,2019,10,V,2,2019,13,V,1,2019,10.25,V,2,2019
