COD_ETU,Note : TLMI2104,Résultat : TLMI2104,Session : TLMI2104,Année : TLMI2104,Note : TLMI2204,Résultat : TLMI2204,Session : TLMI2204,Année : TLMI2204,Note : TLMI2304,Résultat : TLMI2304,Session : TLMI2304,Année : TLMI2304,Note : TLMI2404,Résultat : TLMI2404,Session : TLMI2404,Année : TLMI2404,Note : TLMI2504,Résultat : TLMI2504,Session : TLMI2504,Année : TLMI2504,Note : TLMI2604,Résultat : TLMI2604,Session : TLMI2604,Année : TLMI2604,Note : TLMI2004,Résultat : TLMI2004,Session : TLMI2004,Année : TLMI2004,Note : TLMI1104,Résultat : TLMI1104,Session : TLMI1104,Année : TLMI1104,Note : TLMI1204,Résultat : TLMI1204,Session : TLMI1204,Année : TLMI1204,Note : TLMI1304,Résultat : TLMI1304,Session : TLMI1304,Année : TLMI1304,Note : TLMI1404,Résultat : TLMI1404,Session : TLMI1404,Année : TLMI1404,Note : TLMI1504,Résultat : TLMI1504,Session : TLMI1504,Année : TLMI1504,Note : TLMI1604,Résultat : TLMI1604,Session : TLMI1604,Année : TLMI1604,Note : TLMI1004,Résultat : TLMI1004,Session : TLMI1004,Année : TLMI1004
17006419,10,V,2,2017,11,V,1,2019,15,V,1,2019,10,V,2,2017,10.3,V,1,2017,11.5,V,1,2017,11.3,V,1,2019,8.85,NV,2,2019,7.5,NV,2,2019,7.5,NV,2,2019,10,V,2,2019,10,V,2,2019,12875,V,1,2017,9454,NV,2,2019
17006427,11075,V,1,2018,10,V,2,2018,11,V,1,2019,10,V,1,2018,10,V,1,2019,12.5,V,1,2017,10763,V,1,2019,11.85,V,1,2018,13,V,1,2018,10,V,2,2018,10,V,2,2017,11.5,V,1,2017,10125,V,1,2017,11079,V,2,2018
17006503,10,V,2,2018,10.9,V,1,2018,12,V,1,2019,10,V,2,2017,10.55,V,1,2018,11.25,V,1,2017,10783,V,1,2019,15.1,V,1,2018,13,V,1,2018,9,AC,2,2019,13.35,V,1,2018,10,V,2,2017,11,V,1,2017,11908,V,2,2019
17006514,10.95,V,1,2018,10,V,2,2018,9,AC,2,2019,10,V,2,2018,10,V,1,2019,10.25,V,1,2019,10033,V,2,2019,14.85,V,1,2019,10,V,2,2018,7,AC,2,2019,10,V,2,2019,8.25,AC,2,2019,10,V,2,2017,10017,V,2,2019
17006632,10,V,2,2019,10,V,1,2019,15,V,1,2019,14,V,1,2019,10,V,1,2019,0,NV,2,2019,9833,NV,2,2019,3,NRA,1,2019,3625,NRA,1,2019,3,NRA,1,2019,11,V,1,2019,5.35,NV,2,2019,3875,NRA,1,2019,4975,NV,2,2019
17006758,10,V,2,2018,10,V,2,2018,0,NV,2,2019,10,V,2,2018,0,NV,2,2019,0,NV,2,2019,5,NV,2,2019,10.1,V,1,2018,13.75,V,1,2018,10,V,2,2018,13.1,V,1,2018,11.5,V,1,2018,0,NRA,1,2019,9742,NV,2,2019
17007398,0,NV,2,2019,10,V,2,2017,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,10,V,2,2017,3333,NV,2,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,10,V,2,2017,11.5,V,1,2017,10875,V,1,2017,5396,NV,2,2019
17010720,10,V,2,2018,10.1,V,1,2018,10,V,2,2019,14.5,V,1,2019,9,AC,2,2019,12.5,V,1,2018,11017,V,2,2019,12,V,1,2019,10.5,V,1,2018,7.2,AC,2,2019,10,V,2,2019,13.5,V,1,2017,12625,V,1,2017,10971,V,2,2019
18000739,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NV,2,2019
18002014,11.63,V,1,2019,10,V,1,2019,10,V,1,2019,14.5,V,1,2019,10,V,2,2018,17,V,1,2018,12188,V,1,2019,10.85,V,1,2019,10875,V,1,2019,10,V,1,2019,10.6,V,1,2018,14.5,V,1,2019,14,V,1,2018,11804,V,1,2019
