"COD_ETU","Note : TLMI2104","Résultat : TLMI2104","Session : TLMI2104","Année : TLMI2104","Note : TLMI2204","Résultat : TLMI2204","Session : TLMI2204","Année : TLMI2204","Note : TLMI2304","Résultat : TLMI2304","Session : TLMI2304","Année : TLMI2304","Note : TLMI2404","Résultat : TLMI2404","Session : TLMI2404","Année : TLMI2404","Note : TLMI2504","Résultat : TLMI2504","Session : TLMI2504","Année : TLMI2504","Note : TLMI2604","Résultat : TLMI2604","Session : TLMI2604","Année : TLMI2604","Note : TLMI2004","Résultat : TLMI2004","Session : TLMI2004","Année : TLMI2004","Note : TLMI1104","Résultat : TLMI1104","Session : TLMI1104","Année : TLMI1104","Note : TLMI1204","Résultat : TLMI1204","Session : TLMI1204","Année : TLMI1204","Note : TLMI1304","Résultat : TLMI1304","Session : TLMI1304","Année : TLMI1304","Note : TLMI1404","Résultat : TLMI1404","Session : TLMI1404","Année : TLMI1404","Note : TLMI1504","Résultat : TLMI1504","Session : TLMI1504","Année : TLMI1504","Note : TLMI1604","Résultat : TLMI1604","Session : TLMI1604","Année : TLMI1604","Note : TLMI1004","Résultat : TLMI1004","Session : TLMI1004","Année : TLMI1004"
"19004155","12.6","V","1","2019","10","V","1","2020","10","V","2","2019","10","V","2","2019","11.36","V","1","2020","13","V","1","2019","11.16","V","1","2020","10","V","1","2019","10.5","V","1","2020","10","V","1","2020","12","V","1","2020","10","V","2","2019","13.25","V","1","2019","10,958","V","1","2020"
"19004265","12.5","V","1","2019","10","V","2","2019","15","V","1","2019","10","V","2","2019","10","V","2","2019","14","V","1","2019","11,917","V","2","2019","7","NV","2","2020","10","V","2","2019","6","NV","2","2020","10","V","2","2020","10","V","2","2019","10","V","2","2019","8,833","NV","2","2020"
"19004300","11.2","V","1","2019","1.6","NV","2","2020","16","V","1","2019","10.5","V","1","2019","11","V","1","2019","10","V","2","2019","10.05","NV","2","2020","5.6","NV","2","2020","10.5","V","1","2020","10.5","V","1","2020","0","NRA","1","2020","10","V","2","2020","11,125","V","1","2019","7,954","NV","2","2020"
"19004362","12.9","V","1","2019","10.5","V","1","2019","13","V","1","2019","11","V","1","2019","8.6","AC","2","2019","17","V","1","2019","12,167","V","2","2019","11.3","V","1","2020","10.5","V","1","2020","10","V","2","2019","10","V","2","2019","17","V","1","2020","10.75","V","1","2019","11,592","V","1","2020"
"19004428","0","NRA","1","2020","11","V","1","2019","14","V","1","2019","11.5","V","1","2019","11","V","1","2019","10","V","2","2019","9,583","NV","2","2020","7","AC","2","2020","11","V","1","2020","9","AC","2","2020","8.2","AC","2","2020","12.6","V","1","2019","12.25","V","1","2019","10,008","V","2","2020"
"19004488","10","V","2","2019","0","NRA","1","2020","10","V","2","2019","10.5","V","1","2019","10","V","2","2019","13","V","1","2019","8,917","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","14,875","V","1","2019","2,479","NV","2","2020"
"19004494","12","V","1","2019","10","V","1","2019","12.5","V","1","2019","11","V","1","2019","10","V","2","2019","12","V","1","2019","11.25","V","2","2019","10,975","V","1","2020","8","NV","2","2020","8","NV","2","2020","10","V","2","2020","7","NV","2","2020","12,125","V","1","2019","9.35","NV","2","2020"
"19004507","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"19004512","11.6","V","1","2019","8","AC","2","2019","10","V","1","2019","12","V","1","2019","10","V","2","2019","10","V","1","2019","10,267","V","2","2019","10","V","2","2020","10","V","1","2020","10","V","2","2019","10.1","V","1","2019","16.5","V","1","2020","10","V","2","2019","11.1","V","2","2020"
"19004513","10","V","2","2019","10","V","2","2019","13","V","1","2019","11","V","1","2019","7","AC","2","2019","17","V","1","2019","11,333","V","2","2019","2,838","NV","2","2020","11","V","1","2020","8","NV","2","2020","6","NV","2","2020","16","V","1","2020","14,125","V","1","2019","9,661","NV","2","2020"
"19004514","10.2","V","1","2019","10.5","V","1","2019","13","V","1","2019","11","V","1","2019","7.69","AC","2","2020","17","V","1","2019","11,565","V","2","2020","7","AC","2","2020","10","V","1","2020","10","V","1","2020","11","V","1","2020","14","V","1","2020","10,125","V","1","2019","10,354","V","2","2020"
