"COD_ETU","Note : TLGE3104","Résultat : TLGE3104","Session : TLGE3104","Année : TLGE3104","Note : TLGE3204","Résultat : TLGE3204","Session : TLGE3204","Année : TLGE3204","Note : TLGE3304","Résultat : TLGE3304","Session : TLGE3304","Année : TLGE3304","Note : TLGE3404","Résultat : TLGE3404","Session : TLGE3404","Année : TLGE3404","Note : TLGE3504","Résultat : TLGE3504","Session : TLGE3504","Année : TLGE3504","Note : TLGE3604","Résultat : TLGE3604","Session : TLGE3604","Année : TLGE3604","Note : TLGE3004","Résultat : TLGE3004","Session : TLGE3004","Année : TLGE3004","Note : TLGE4104","Résultat : TLGE4104","Session : TLGE4104","Année : TLGE4104","Note : TLGE4204","Résultat : TLGE4204","Session : TLGE4204","Année : TLGE4204","Note : TLGE4304","Résultat : TLGE4304","Session : TLGE4304","Année : TLGE4304","Note : TLGE4404","Résultat : TLGE4404","Session : TLGE4404","Année : TLGE4404","Note : TLGE4504","Résultat : TLGE4504","Session : TLGE4504","Année : TLGE4504","Note : TLGE4604","Résultat : TLGE4604","Session : TLGE4604","Année : TLGE4604","Note : TLGE4004","Résultat : TLGE4004","Session : TLGE4004","Année : TLGE4004","Note : TLMP140C","Résultat : TLMP140C","Session : TLMP140C","Année : TLMP140C","Note : TLMP240C","Résultat : TLMP240C","Session : TLMP240C","Année : TLMP240C"
"18005586","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","15","V","1","2019","2.5","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","1","2019","13","V","1","2019","11","V","1","2019","0","NRA","1","2020","5,667","NV","2","2020","","","","","","","",""
"18005599","11.2","V","1","2019","10","V","2","2020","10","V","2","2019","13.4","V","1","2020","13","V","1","2019","15.5","V","1","2019","12,183","V","2","2020","10","V","1","2020","8","AC","2","2020","10","V","2","2019","12","V","1","2020","10","V","1","2019","10","V","1","2020","10","V","2","2020","","","","","","","",""
"18005617","10","V","2","2019","10.95","V","1","2020","10","V","2","2020","14.9","V","1","2020","12","V","1","2020","12","V","1","2019","11,642","V","2","2020","13,325","V","1","2019","18","V","1","2019","10.5","V","1","2019","11","V","1","2019","10","V","1","2019","12","V","1","2019","12,471","V","1","2019","","","","","","","",""
"18005629","10.5","V","1","2020","10","V","2","2020","12.5","V","1","2020","13","V","1","2020","10","V","2","2019","13","V","1","2019","11.5","V","2","2020","8.5","AC","2","2020","7.5","AC","2","2020","12","V","1","2019","10","V","2","2020","12","V","1","2019","10","V","2","2020","10","V","2","2020","","","","","","","",""
"18005642","10","V","2","2020","10","V","2","2020","7","AC","2","2020","16","V","1","2020","11.5","V","1","2020","12.5","V","1","2019","11,167","V","2","2020","15,125","V","1","2020","7","AC","2","2020","10","V","1","2019","10.5","V","1","2020","11","V","1","2019","9","AC","2","2020","10,438","V","2","2020","","","","","","","",""
"18005647","13","V","1","2020","13.16","V","1","2020","11","V","1","2020","15.7","V","1","2020","13","V","1","2020","13","V","1","2019","13,143","V","1","2020","14.05","V","1","2020","10","V","1","2020","10","V","2","2019","17","V","1","2020","16","V","1","2019","10","V","2","2020","12,842","V","2","2020","","","","","","","",""
"18005652","11","V","1","2020","7","AC","2","2020","12","V","1","2020","11.8","V","1","2020","10.25","V","1","2019","13","V","1","2019","10,842","V","2","2020","9","AC","2","2020","8.5","AC","2","2020","11","V","1","2019","11","V","1","2020","15","V","1","2019","8.5","AC","2","2020","10.5","V","2","2020","","","","","","","",""
"18005658","3","NV","2","2020","","","","","12","V","1","2020","14.9","V","1","2020","10","V","2","2020","13.5","V","1","2019","","","1","2020","9.1","AC","2","2020","10","V","1","2019","11","V","1","2020","13","V","1","2019","12","V","1","2019","9.5","AC","2","2020","10,767","V","2","2020","","","","","","","",""
"18005869","11.5","V","1","2020","14.3","V","1","2020","10.35","V","1","2019","10","V","2","2019","12,375","V","1","2019","14","V","1","2019","12,088","V","1","2020","15.95","V","1","2019","18","V","1","2019","11","V","1","2019","11","V","1","2019","12","V","1","2019","16","V","1","2019","13,992","V","1","2019","","","","","","","",""
"18005878","","","","","","","","","","","","","","","","","","","","","0","NRA","1","2020","","","1","2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18005902","","","","","","","","","","","","","","","","","0","NRA","1","2020","","","","","","","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","","","","","","","1","2020","","","","","","","",""
"18006215","20","V","1","2020","10.72","V","1","2020","10","V","2","2020","19","V","1","2020","15","V","1","2020","12","V","1","2020","14,453","V","2","2020","13.6","V","1","2020","10","V","2","2020","12","V","1","2020","13.5","V","1","2020","14.5","V","1","2020","8","AC","2","2020","11,933","V","2","2020","","","","","","","",""
"18007954","10","V","2","2020","8","AC","2","2020","10.15","V","1","2019","13.2","V","1","2020","10,125","V","1","2019","13.5","V","1","2019","10,829","V","2","2020","8.85","AC","2","2020","7","AC","2","2020","13","V","1","2020","17","V","1","2020","10","V","2","2019","7","AC","2","2020","10,475","V","2","2020","","","","","","","",""
